date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:40	180095/180095	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202026%2018:15:40%20GMT	https://iamnex.com/landing	C:/Users/belde/OneDrive/Desktop/NEX/NEX/iamnex.com/landing.html	(from )
11:15:40	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2009%20Apr%202026%2018:15:40%20GMT	https://iamnex.com/robots.txt		(from )
11:15:40	32845/32845	---M-Z	200	added ('OK')	text/css	etag:%2208c6d7fe91e74df55f9fca6b0b728071%22	https://stcdn.leadconnectorhq.com/_preview/entry.B6Xdw9XE.css	C:/Users/belde/OneDrive/Desktop/NEX/NEX/stcdn.leadconnectorhq.com/_preview/entry.B6Xdw9XE.css	(from https://iamnex.com/landing)
11:15:40	320848/320848	---M-Z	200	added ('OK')	application/javascript	etag:%22fc683b0bbda7f60494c3137bea69b057%22	https://stcdn.leadconnectorhq.com/_preview/DWhs1w94.js	C:/Users/belde/OneDrive/Desktop/NEX/NEX/stcdn.leadconnectorhq.com/_preview/DWhs1w94.js	(from https://iamnex.com/landing)
11:15:41	364/364	---M-Z	200	added ('OK')	application/javascript	etag:%2293435180e374453208e53fb0ca819677%22	https://stcdn.leadconnectorhq.com/_preview/C-wqRESd.js	C:/Users/belde/OneDrive/Desktop/NEX/NEX/stcdn.leadconnectorhq.com/_preview/C-wqRESd.js	(from https://iamnex.com/landing)
11:15:41	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%2259503265d49507239be6e23162965e67%22	https://stcdn.leadconnectorhq.com/_preview/goK2w_rD.js	C:/Users/belde/OneDrive/Desktop/NEX/NEX/stcdn.leadconnectorhq.com/_preview/goK2w_rD.js	(from https://iamnex.com/landing)
11:15:41	1008/1008	---M-Z	200	added ('OK')	application/javascript	etag:%22dad374f8cf623efbe40167d1aea03804%22	https://stcdn.leadconnectorhq.com/_preview/Cx1nIMJb.js	C:/Users/belde/OneDrive/Desktop/NEX/NEX/stcdn.leadconnectorhq.com/_preview/Cx1nIMJb.js	(from https://iamnex.com/landing)
11:15:42	1234928/1234928	---M--	200	added ('OK')	image/png	etag:%226ae2efca9f849988541a37c989eea48f%22	https://storage.googleapis.com/msgsndr/YqGU2xiahflUfKWb3pGP/media/69310c6de0f0924bdf7d170b.png	C:/Users/belde/OneDrive/Desktop/NEX/NEX/storage.googleapis.com/msgsndr/YqGU2xiahflUfKWb3pGP/media/69310c6de0f0924bdf7d170b.png	(from https://iamnex.com/landing)
11:15:42	350554/350554	---M--	200	added ('OK')	image/png	etag:%22da09d60aae2fc657cae25deabc9df8cd%22	https://storage.googleapis.com/msgsndr/YqGU2xiahflUfKWb3pGP/media/693e6af696e75365718f1b9d.png	C:/Users/belde/OneDrive/Desktop/NEX/NEX/storage.googleapis.com/msgsndr/YqGU2xiahflUfKWb3pGP/media/693e6af696e75365718f1b9d.png	(from https://iamnex.com/landing)
11:15:42	1076832/1076832	---M--	200	added ('OK')	image/png	etag:%226799e5c486cd122d869326d299b5fef3%22	https://storage.googleapis.com/msgsndr/YqGU2xiahflUfKWb3pGP/media/6918e2ecb313f215c462fb1d.png	C:/Users/belde/OneDrive/Desktop/NEX/NEX/storage.googleapis.com/msgsndr/YqGU2xiahflUfKWb3pGP/media/6918e2ecb313f215c462fb1d.png	(from https://iamnex.com/landing)
11:15:44	77682/77682	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202026%2018:15:44%20GMT	https://iamnex.com/howitworks	C:/Users/belde/OneDrive/Desktop/NEX/NEX/iamnex.com/howitworks.html	(from https://iamnex.com/landing)
11:15:45	82551/82551	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202026%2018:15:46%20GMT	https://iamnex.com/subscribe	C:/Users/belde/OneDrive/Desktop/NEX/NEX/iamnex.com/subscribe.html	(from https://iamnex.com/landing)
11:15:46	62277/62277	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202026%2018:15:47%20GMT	https://iamnex.com/faq	C:/Users/belde/OneDrive/Desktop/NEX/NEX/iamnex.com/faq.html	(from https://iamnex.com/landing)
